id,stock_code,product_category,unit_price,quantity,customer_id,id,first_name,last_name,email,gender
1,HWLNKJW2,Outdoors,10,64,12,12,Alvie,Hulls,ahullsb@studiopress.com,M
2,45GMR3MZ,Automotive,6,4,133,133,Guglielmo,Viger,gviger3o@moonfruit.com,M
3,T66RETFR,Toys,80,84,49,49,Salomone,Hitcham,shitcham1c@wix.com,M
4,VRFSURFQ,Home,60,59,228,228,Lydia,Hollyar,lhollyar6b@flavors.me,F
5,VSQFUZCE,Jewelry,76,50,184,184,Prentice,Bossom,pbossom53@examiner.com,M
6,BF4RLGOC,Automotive,45,31,215,215,Jedediah,Camelli,jcamelli5y@foxnews.com,M
7,DWFFK0OL,Clothing,7,46,35,35,Winnie,Hannaway,whannawayy@microsoft.com,M
8,CHOLN4AT,Automotive,113,38,177,177,Morgen,Desporte,mdesporte4w@ameblo.jp,M
9,GAAUWTZ3,Automotive,67,49,17,17,Jerrome,Shambrook,jshambrookg@ustream.tv,M
10,1SS9NJ9K,Electronics,99,68,81,81,Adolphus,Bunford,abunford28@stanford.edu,M
11,NDZG97KF,Movies,59,20,98,98,Gayla,Ashwell,gashwell2p@sfgate.com,F
12,132GF5KU,Music,94,34,231,231,Quentin,Foard,qfoard6e@imgur.com,M
13,WQTVJFVD,Sports,32,74,61,61,Ilyssa,Hanlin,ihanlin1o@mysql.com,F
14,ZKS41NB5,Clothing,11,82,37,37,Clayson,Manuely,cmanuely10@google.pl,M
15,EGT0JUUJ,Computers,93,28,235,235,Winna,Ashelford,washelford6i@comcast.net,F
16,57Y8KW1B,Games,134,84,162,162,Dante,Demaine,ddemaine4h@amazon.co.jp,M
17,ARI7H7F1,Shoes,133,59,1,1,Traver,Jakubovitch,tjakubovitch0@aol.com,M
18,EL1XTSST,Music,124,42,117,117,Clarisse,Parell,cparell38@newyorker.com,F
19,83D6B18W,Books,87,20,242,242,Durante,Feacham,dfeacham6p@mysql.com,M
20,WXTC7PUL,Tools,36,68,112,112,Burnaby,Trotman,btrotman33@loc.gov,M
21,1RSKFCX7,Computers,83,11,180,180,Clary,Linnett,clinnett4z@cpanel.net,F
22,18PUBYX9,Beauty,123,37,116,116,Vincents,Cutill,vcutill37@berkeley.edu,M
23,AW9KE0YW,Computers,73,85,218,218,Hewe,Thing,hthing61@oakley.com,M
24,MO0C0K03,Movies,147,35,235,235,Winna,Ashelford,washelford6i@comcast.net,F
25,MOWEQ4TD,Toys,44,23,57,57,Tedda,Bounde,tbounde1k@example.com,F
26,G9UTWHK8,Grocery,100,12,89,89,Gus,Wilne,gwilne2g@arstechnica.com,F
